loc_id	full_address
bld_67258	The Amber Residence, Kota Kemuning, Selangor
str_66918	None, KL City, Kuala Lumpur
str_66979	None, Batu Caves, Kuala Lumpur
bld_66962	Desa Bakti, Batu Caves, Kuala Lumpur
bld_66917	Flat DBKL Jalan Hang Tuah, KL City, Kuala Lumpur
ctr_23684	None, None, None
myrgn_11781	None, None, None
myrgn_15930	None, None, None
mysta_21526	None, None, Labuan
mysta_22232	None, None, Johor
mysta_12841	None, None, Putrajaya
mysta_22750	None, None, Sabah
mysta_31997	None, None, Negeri Sembilan
mysta_17914	None, None, Kedah
mysta_15367	None, None, Terengganu
mysta_12358	None, None, Sarawak
mysta_18166	None, None, Melaka
mysta_37605	None, None, Penang
mysta_41683	None, None, Kelantan
mysta_13093	None, None, Pahang
mysta_41121	None, None, Selangor
mysta_26459	None, None, Kuala Lumpur
mysta_25733	None, None, Perlis
mysta_26939	None, None, Perak
mydst_51333	None, None, Kedah
mydst_51331	None, None, Penang
mydst_51260	None, None, Perlis
mydst_51335	None, None, Selangor
mydst_51238	None, None, Terengganu
mydst_51256	None, None, Sarawak
mydst_51345	None, None, Sarawak
mydst_51359	None, None, Kedah
mydst_51249	None, None, Pahang
mydst_51287	None, None, Kedah
mydst_51285	None, None, Kedah
mydst_51237	None, None, Penang
mydst_51284	None, None, Sarawak
mydst_51293	None, None, Johor
mydst_51299	None, None, Selangor
mydst_51315	None, None, Kuala Lumpur
mydst_51283	None, None, Pahang
mydst_51277	None, None, Sarawak
mydst_51236	None, None, Sarawak
mydst_51348	None, None, Negeri Sembilan
mydst_51297	None, None, Penang
mydst_51263	None, None, Terengganu
mydst_51308	None, None, Sarawak
mydst_51300	None, None, Johor
mydst_51290	None, None, Terengganu
mydst_51355	None, None, Sabah
mydst_51262	None, None, Sarawak
mydst_51363	None, None, Sarawak
mydst_51318	None, None, Kelantan
mydst_51324	None, None, Sabah
mydst_51325	None, None, Sabah
mydst_51234	None, None, Kedah
mydst_51265	None, None, Selangor
mydst_51316	None, None, Terengganu
mydst_51357	None, None, Sabah
mydst_51347	None, None, Sabah
mydst_51326	None, None, Perak
mydst_51245	None, None, Pahang
mydst_51269	None, None, Sabah
mydst_51373	None, None, Pahang
mydst_51240	None, None, Sarawak
mydst_51358	None, None, Sabah
mydst_51243	None, None, Kedah
mydst_51371	None, None, Sabah
mydst_51255	None, None, Sarawak
mydst_51336	None, None, Sabah
mydst_51375	None, None, Sarawak
mydst_51372	None, None, Perak
mydst_51250	None, None, Perak
mydst_51312	None, None, Terengganu
mydst_51253	None, None, Sabah
mydst_51271	None, None, Sarawak
mydst_51296	None, None, Johor
mydst_51367	None, None, Sabah
mydst_51304	None, None, Sarawak
mydst_51364	None, None, Negeri Sembilan
mydst_51248	None, None, Perak
mydst_51365	None, None, Johor
mydst_51362	None, None, Penang
mydst_51257	None, None, Sarawak
mydst_51334	None, None, Negeri Sembilan
mydst_51307	None, None, Johor
mydst_51279	None, None, Perak
mydst_51239	None, None, Melaka
mydst_51352	None, None, Selangor
mydst_51298	None, None, Melaka
mydst_51282	None, None, Negeri Sembilan
mydst_51323	None, None, Perak
mydst_51360	None, None, Sarawak
mydst_51292	None, None, Johor
mydst_51241	None, None, Sabah
mydst_51278	None, None, Johor
mydst_51353	None, None, Kelantan
mydst_51342	None, None, Negeri Sembilan
mydst_51343	None, None, Labuan
mydst_51361	None, None, Kelantan
mydst_51270	None, None, Sabah
mydst_51247	None, None, Sabah
mydst_51261	None, None, Terengganu
mydst_51286	None, None, Sarawak
mydst_51289	None, None, Sabah
mydst_51295	None, None, Kedah
mydst_51314	None, None, Sabah
mydst_51327	None, None, Johor
mydst_51301	None, None, Kedah
mydst_51346	None, None, Sabah
mydst_51320	None, None, Sarawak
mydst_51252	None, None, Kedah
mydst_51302	None, None, Pahang
mydst_51339	None, None, Pahang
mydst_51258	None, None, Kelantan
mydst_51291	None, None, Sabah
mydst_51288	None, None, Sarawak
mydst_51275	None, None, Johor
mydst_51310	None, None, Perak
mydst_51330	None, None, Sabah
mydst_51350	None, None, Pahang
mydst_51272	None, None, Penang
mydst_51309	None, None, Kelantan
mydst_51273	None, None, Putrajaya
mydst_51370	None, None, Sabah
mydst_51276	None, None, Negeri Sembilan
mydst_51266	None, None, Johor
mydst_51281	None, None, Sarawak
mydst_51356	None, None, Sarawak
mydst_51366	None, None, Pahang
mydst_51329	None, None, Sarawak
mydst_51254	None, None, Sarawak
mydst_51340	None, None, Kelantan
mydst_51303	None, None, Kelantan
mydst_51354	None, None, Kelantan
mydst_51317	None, None, Selangor
mydst_51231	None, None, Selangor
mydst_51374	None, None, Sarawak
mydst_51232	None, None, Kedah
mydst_51319	None, None, Kelantan
mydst_51338	None, None, Sabah
mydst_51337	None, None, Sarawak
mydst_51280	None, None, Negeri Sembilan
mydst_51264	None, None, Perak
mydst_51305	None, None, Sabah
mydst_51376	None, None, Sarawak
mydst_51242	None, None, Kedah
mydst_51251	None, None, Pahang
mydst_51313	None, None, Pahang
mydst_51294	None, None, Sarawak
mydst_51341	None, None, Kedah
mydst_51328	None, None, Sabah
mydst_51349	None, None, Perak
mydst_51233	None, None, Kelantan
mydst_51268	None, None, Selangor
mydst_51369	None, None, Terengganu
mydst_51306	None, None, Sabah
mydst_51259	None, None, Selangor
mydst_51244	None, None, Sarawak
mydst_51267	None, None, Perak
mydst_51274	None, None, Perak
mydst_51351	None, None, Pahang
mydst_51246	None, None, Selangor
mydst_51321	None, None, Melaka
mydst_51368	None, None, Kelantan
mydst_51344	None, None, Sarawak
mydst_51332	None, None, Sarawak
mydst_51235	None, None, Sarawak
mydst_51322	None, None, Sarawak
mydst_51311	None, None, Sabah
mydvs_51217	None, None, Sabah
mydvs_51221	None, None, Sabah
mydvs_51224	None, None, Sabah
mydvs_51222	None, None, Sarawak
mydvs_51229	None, None, Sarawak
mydvs_51218	None, None, Sabah
mydvs_51220	None, None, Sarawak
mydvs_51223	None, None, Sarawak
mydvs_51214	None, None, Sarawak
mydvs_51216	None, None, Sarawak
mydvs_51219	None, None, Sabah
mydvs_51227	None, None, Sarawak
mydvs_51225	None, None, Sarawak
mydvs_51228	None, None, Sarawak
mydvs_51215	None, None, Sarawak
mydvs_51230	None, None, Sarawak
mydvs_51226	None, None, Sarawak
mycty_51907	None, Temerloh, Pahang
mycty_51540	None, USM, Penang
mycty_51559	None, Kajang, Selangor
